epoch,train_loss,train_acc,val_loss,val_acc,aAcc,mIoU,mAcc,best_val_loss,best_mIoU,early_stop_bad,val_images,val_batches
1,0.3813304290820363,0.8833829278554894,0.2226863936162912,0.914375133239306,0.9143466810914563,0.7782598975142457,0.84250043853514,0.2226863936162912,0.7782598975142457,0,826,52
2,0.20171056596184647,0.9217191709201266,0.18888602434442595,0.9256125656458049,0.9256026519701498,0.8245878362567439,0.8938172171776322,0.18888602434442595,0.8245878362567439,0,826,52
3,0.1805148025240605,0.9288423216152842,0.17482370711289918,0.9304413254444415,0.9304326844850406,0.8403593060151212,0.9100112754452234,0.17482370711289918,0.8403593060151212,0,826,52
4,0.1682848486718393,0.9328790207930198,0.16706339011971766,0.9329922799880688,0.9329836963164027,0.8487247092441536,0.908609913513581,0.16706339011971766,0.8487247092441536,0,826,52
5,0.16113287984374444,0.9352224576446081,0.16164028386657053,0.9347265793726994,0.9347199516204021,0.8531188256495549,0.9086302470883307,0.16164028386657053,0.8531188256495549,0,826,52
6,0.15566029526921232,0.9370077213013633,0.1561265722490274,0.936537865950511,0.9365330204259397,0.8610445834852802,0.9176213729597565,0.1561265722490274,0.8610445834852802,0,826,52
7,0.1515496531692344,0.9383457355998914,0.15239540172310975,0.9377405423384446,0.9377380791357008,0.8652178185821356,0.9218603379789623,0.15239540172310975,0.8652178185821356,0,826,52
8,0.1486422333331749,0.9392711469958747,0.14965302497148514,0.9386343098603762,0.9386324062763057,0.8678439626245767,0.9226045803038069,0.14965302497148514,0.8678439626245767,0,826,52
9,0.14589065856433947,0.9401414557307076,0.1497127740428998,0.9386346404369061,0.9386281851706146,0.8684228161620142,0.9220823223112337,0.14965302497148514,0.8684228161620142,1,826,52
10,0.14390316401907416,0.9407386779785156,0.14538306929171085,0.9400143797581013,0.9400127817297097,0.8726543190875636,0.9282088246549511,0.14538306929171085,0.8726543190875636,0,826,52
11,0.14198055352531969,0.9413183577239921,0.14344654389872,0.9405836128271543,0.9405812616787003,0.8741722108876782,0.925540418533663,0.14344654389872,0.8741722108876782,0,826,52
12,0.14027693144688574,0.9418324006717135,0.1421078542390695,0.9409408418031838,0.940938654015197,0.8753880512914144,0.9283172875380133,0.1421078542390695,0.8753880512914144,0,826,52
13,0.1387902730248512,0.9422766263501248,0.14122571896475095,0.9411921079342183,0.9411904471261161,0.8770640610764368,0.9339095543562159,0.14122571896475095,0.8770640610764368,0,826,52
